date,state,tests,cases,hospitalizations,deaths
2020-03-02,NY,0,0,0,0
2020-03-03,NY,1,1,0,0
2020-03-04,NY,9,0,0,0
2020-03-05,NY,20,2,0,0
2020-03-06,NY,92,22,0,0
2020-03-07,NY,66,11,0,0
2020-03-08,NY,200,24,0,0
2020-03-09,NY,307,28,0,0
2020-03-10,NY,401,63,0,0
2020-03-11,NY,425,44,0,0
2020-03-12,NY,553,56,0,0
2020-03-13,NY,762,102,0,0
2020-03-14,NY,1290,164,0,0
2020-03-15,NY,1293,131,0,3
2020-03-16,NY,1936,294,0,4
2020-03-17,NY,2907,432,0,0
2020-03-18,NY,4553,1009,0,5
2020-03-19,NY,7698,1769,0,0
2020-03-20,NY,10124,2950,0,23
2020-03-21,NY,13087,3254,0,9
2020-03-22,NY,16029,4812,0,70
2020-03-23,NY,16812,5707,0,0
2020-03-24,NY,12952,4790,0,96
2020-03-25,NY,12142,5145,0,75
2020-03-26,NY,18651,6448,0,100
2020-03-27,NY,16315,7379,0,134
2020-03-28,NY,17444,7681,0,209
2020-03-29,NY,16401,7195,0,237
2020-03-30,NY,14115,6984,0,253
2020-03-31,NY,18648,9298,0,332
2020-04-01,NY,15701,7917,0,391
2020-04-02,NY,18031,8669,0,432
2020-04-03,NY,21555,10482,0,562
2020-04-04,NY,23101,10841,0,630
2020-04-05,NY,18659,8327,0,594
2020-04-06,NY,18531,8658,0,599
2020-04-07,NY,19247,8174,0,731
2020-04-08,NY,25095,10453,0,779
2020-04-09,NY,26396,10621,0,799
2020-04-10,NY,26336,10575,0,777
2020-04-11,NY,23095,9946,0,783
2020-04-12,NY,20621,8236,0,758
2020-04-13,NY,16756,6337,0,671
2020-04-14,NY,20786,7177,0,778
2020-04-15,NY,26869,11571,0,752
2020-04-16,NY,24567,8505,0,606
2020-04-17,NY,22644,7358,0,630
2020-04-18,NY,23309,7090,0,540
2020-04-19,NY,21023,6054,0,507
2020-04-20,NY,16306,4726,0,478
2020-04-21,NY,15464,4178,0,481
2020-04-22,NY,20657,5526,0,474
2020-04-23,NY,25938,6244,0,438
2020-04-24,NY,34736,8130,0,422
2020-04-25,NY,46912,10553,0,437
2020-04-26,NY,27782,5902,0,367
2020-04-27,NY,20745,3951,0,337
2020-04-28,NY,18899,3110,0,335
2020-04-29,NY,27487,4585,0,377
2020-04-30,NY,28155,4681,0,306
2020-05-01,NY,26802,3942,0,289
2020-05-02,NY,31579,4663,0,299
2020-05-03,NY,26894,3438,0,280
2020-05-04,NY,21399,2538,0,226
2020-05-05,NY,21589,2239,0,230
2020-05-06,NY,27022,2786,0,232
2020-05-07,NY,33995,3491,0,951
2020-05-08,NY,31627,2938,0,217
2020-05-09,NY,32225,2715,0,226
2020-05-10,NY,29230,2273,0,207
2020-05-11,NY,21652,1660,0,162
2020-05-12,NY,20463,1430,0,205
2020-05-13,NY,33794,2176,0,168
2020-05-14,NY,39850,2390,0,157
2020-05-15,NY,39291,2762,0,134
2020-05-16,NY,40669,2419,0,174
2020-05-17,NY,34679,1889,0,141
2020-05-18,NY,26161,1250,0,110
2020-05-19,NY,28182,1474,0,114
2020-05-20,NY,38097,1525,0,133
2020-05-21,NY,49219,2088,0,107
2020-05-22,NY,45738,1696,0,112
2020-05-23,NY,51268,1772,0,87
2020-05-24,NY,47765,1589,0,109
2020-05-25,NY,39623,1249,0,97
2020-05-26,NY,34679,1072,0,76
2020-05-27,NY,37416,1129,0,79
2020-05-28,NY,65245,1768,0,79
2020-05-29,NY,67341,1551,0,58
2020-05-30,NY,61251,1376,0,68
2020-05-31,NY,58444,1110,0,57
2020-06-01,NY,49952,941,0,54
2020-06-02,NY,54054,1329,0,64
2020-06-03,NY,61642,1045,0,56
2020-06-04,NY,63559,1048,0,54
2020-06-05,NY,66480,1075,0,42
2020-06-06,NY,77895,1108,0,37
2020-06-07,NY,60435,781,0,47
2020-06-08,NY,58054,702,0,40
2020-06-09,NY,49973,683,0,49
2020-06-10,NY,62297,674,0,56
2020-06-11,NY,60839,736,0,38
2020-06-12,NY,72395,822,0,53
2020-06-13,NY,70840,916,0,32
2020-06-14,NY,62359,694,0,24
2020-06-15,NY,56611,620,0,28
2020-06-16,NY,60568,631,0,29
2020-06-17,NY,59341,567,0,21
2020-06-18,NY,68541,618,0,32
2020-06-19,NY,79303,796,0,25
2020-06-20,NY,68830,716,0,24
2020-06-21,NY,67526,664,0,15
2020-06-22,NY,56780,552,0,14
2020-06-23,NY,48709,597,0,27
2020-06-24,NY,51144,581,0,16
2020-06-25,NY,67642,749,0,18
2020-06-26,NY,61723,805,0,14
2020-06-27,NY,73262,703,0,16
2020-06-28,NY,61906,616,0,5
2020-06-29,NY,46428,391,0,7
2020-06-30,NY,52025,524,0,13
2020-07-01,NY,56710,625,0,11
2020-07-02,NY,69945,875,0,11
2020-07-03,NY,66392,918,0,8
2020-07-04,NY,62403,726,0,11
2020-07-05,NY,63415,533,0,8
2020-07-06,NY,54328,518,0,9
2020-07-07,NY,56736,588,0,11
2020-07-08,NY,57585,692,0,20
2020-07-09,NY,65564,584,0,15
2020-07-10,NY,73558,786,0,9
2020-07-11,NY,69203,730,0,6
2020-07-12,NY,62418,677,0,5
2020-07-13,NY,51687,557,0,10
2020-07-14,NY,60045,912,0,5
2020-07-15,NY,63598,831,0,9
2020-07-16,NY,72685,769,0,11
2020-07-17,NY,78239,776,0,10
2020-07-18,NY,69817,754,0,11
2020-07-19,NY,46204,502,0,13
2020-07-20,NY,49342,519,0,8
2020-07-21,NY,66169,855,0,2
2020-07-22,NY,67659,705,0,10
2020-07-23,NY,69698,811,0,13
2020-07-24,NY,76507,753,0,9
2020-07-25,NY,71466,750,0,13
2020-07-26,NY,53568,536,0,3
2020-07-27,NY,57270,608,0,11
2020-07-28,NY,57397,534,0,9
2020-07-29,NY,62276,715,0,6
2020-07-30,NY,73546,777,0,13
2020-07-31,NY,68869,644,0,5
2020-08-01,NY,82737,753,0,14
2020-08-02,NY,58961,531,0,6
2020-08-03,NY,51839,545,0,2
2020-08-04,NY,70993,746,0,3
2020-08-05,NY,72668,636,0,4
2020-08-06,NY,72370,703,0,6
2020-08-07,NY,70170,714,0,5
2020-08-08,NY,74857,703,0,5
2020-08-09,NY,65812,515,0,7
2020-08-10,NY,54002,476,0,2
2020-08-11,NY,77059,667,0,7
2020-08-12,NY,87776,700,0,7
2020-08-13,NY,87900,737,0,10
2020-08-14,NY,85455,727,0,4
2020-08-15,NY,88668,734,0,12
2020-08-16,NY,77692,607,0,6
2020-08-17,NY,56891,408,0,6
2020-08-18,NY,66891,655,0,8
2020-08-19,NY,80425,631,0,6
2020-08-20,NY,80984,601,0,5
2020-08-21,NY,98880,709,0,3
2020-08-22,NY,94849,653,0,4
2020-08-23,NY,74043,572,0,6
2020-08-24,NY,62031,408,0,7
2020-08-25,NY,67255,629,0,2
2020-08-26,NY,71189,566,0,8
2020-08-27,NY,83437,791,0,4
2020-08-28,NY,97826,636,0,3
2020-08-29,NY,93873,635,0,7
2020-08-30,NY,100022,698,0,8
2020-08-31,NY,66241,656,0,1
2020-09-01,NY,76997,754,0,3
2020-09-02,NY,88447,708,0,5
2020-09-03,NY,88981,889,0,7
2020-09-04,NY,93395,864,0,5
2020-09-05,NY,99761,801,0,2
2020-09-06,NY,85630,729,0,9
2020-09-07,NY,58865,520,0,2
2020-09-08,NY,57826,557,0,6
2020-09-09,NY,63230,576,0,3
2020-09-10,NY,76813,757,0,7
2020-09-11,NY,89722,880,0,5
2020-09-12,NY,102925,849,0,2
2020-09-13,NY,72668,725,0,6
2020-09-14,NY,63358,583,0,4
2020-09-15,NY,73678,766,0,11
2020-09-16,NY,75087,652,0,5
2020-09-17,NY,91504,896,0,3
2020-09-18,NY,89727,790,0,10
2020-09-19,NY,110444,986,0,2
2020-09-20,NY,100355,862,0,2
2020-09-21,NY,58319,573,0,1
2020-09-22,NY,83997,754,0,4
2020-09-23,NY,70930,665,0,5
2020-09-24,NY,92953,955,0,2
2020-09-25,NY,94818,908,0,7
2020-09-26,NY,99953,1005,0,4
2020-09-27,NY,84770,866,0,6
2020-09-28,NY,52936,834,0,12
2020-09-29,NY,88231,1189,0,2
2020-09-30,NY,97960,1000,0,9
2020-10-01,NY,109218,1382,0,11
2020-10-02,NY,119493,1598,0,7
2020-10-03,NY,134267,1731,0,8
2020-10-04,NY,110329,1222,0,14
2020-10-05,NY,76404,933,0,8
2020-10-06,NY,96359,1393,0,9
2020-10-07,NY,108246,1360,0,9
2020-10-08,NY,145811,1836,0,10
2020-10-09,NY,139300,1592,0,6
2020-10-10,NY,134579,1447,0,8
2020-10-11,NY,118254,1143,0,5
2020-10-12,NY,91793,1029,0,13
2020-10-13,NY,99070,1393,0,11
2020-10-14,NY,111744,1232,0,7
2020-10-15,NY,133212,1460,0,13
2020-10-16,NY,136039,1707,0,10
2020-10-17,NY,159972,1784,0,9
2020-10-18,NY,128763,1390,0,7
2020-10-19,NY,82009,998,0,15
2020-10-20,NY,90540,1201,0,13
2020-10-21,NY,124789,2026,0,7
2020-10-22,NY,135341,1628,0,15
2020-10-23,NY,141508,1637,0,11
2020-10-24,NY,156940,2061,0,13
2020-10-25,NY,120830,1632,0,12
2020-10-26,NY,82117,1191,0,12
2020-10-27,NY,111618,1991,0,16
2020-10-28,NY,129660,2031,0,15
2020-10-29,NY,168353,2499,0,19
2020-10-30,NY,146885,2255,0,12
2020-10-31,NY,136962,2049,0,3
2020-11-01,NY,148935,2255,0,17
2020-11-02,NY,96101,1633,0,14
2020-11-03,NY,127869,2321,0,15
2020-11-04,NY,133534,2126,0,15
2020-11-05,NY,161019,2997,0,24
2020-11-06,NY,160705,3209,0,18
2020-11-07,NY,163291,3587,0,18
2020-11-08,NY,145642,3428,0,19
2020-11-09,NY,111416,3144,0,26
2020-11-10,NY,128036,3965,0,32
2020-11-11,NY,164300,4820,0,21
2020-11-12,NY,162627,4797,0,29
2020-11-13,NY,203721,5401,0,24
2020-11-14,NY,184162,5388,0,24
2020-11-15,NY,133202,3649,0,30
2020-11-16,NY,124565,3490,0,26
2020-11-17,NY,159852,5088,0,30
2020-11-18,NY,154434,5294,0,36
2020-11-19,NY,195239,5310,0,32
2020-11-20,NY,205466,5468,0,35
2020-11-21,NY,207907,5972,0,34
2020-11-22,NY,196610,5392,0,31
2020-11-23,NY,191489,5906,0,33
2020-11-24,NY,164761,4881,0,51
2020-11-25,NY,173085,6265,0,41
2020-11-26,NY,217721,6933,0,67
2020-11-27,NY,219442,8176,0,39
2020-11-28,NY,152355,6063,0,44
2020-11-29,NY,157320,6723,0,58
2020-11-30,NY,148974,6819,0,57
2020-12-01,NY,146675,7285,0,69
2020-12-02,NY,193551,8973,0,73
2020-12-03,NY,203440,9855,0,66
2020-12-04,NY,208297,11271,0,62
2020-12-05,NY,215401,10761,0,72
2020-12-06,NY,205832,9702,0,60
2020-12-07,NY,152287,7302,0,83
2020-12-08,NY,162464,9335,0,75
2020-12-09,NY,194595,10600,0,97
2020-12-10,NY,197406,10178,0,94
2020-12-11,NY,212672,10595,0,89
2020-12-12,NY,242927,11129,0,88
2020-12-13,NY,205250,10194,0,110
2020-12-14,NY,159844,9044,0,85
2020-12-15,NY,194188,10353,0,132
2020-12-16,NY,160947,9998,0,98
2020-12-17,NY,202772,10914,0,122
2020-12-18,NY,249385,12697,0,122
2020-12-19,NY,191476,9919,0,130
2020-12-20,NY,197251,9957,0,124
2020-12-21,NY,156510,9007,0,111
2020-12-22,NY,164868,9716,0,141
2020-12-23,NY,204361,11937,0,166
2020-12-24,NY,226296,12568,0,133
2020-12-25,NY,226560,12446,0,121
2020-12-26,NY,201442,10806,0,126
2020-12-27,NY,130299,7623,0,115
2020-12-28,NY,124866,10407,0,118
2020-12-29,NY,160164,11438,0,127
2020-12-30,NY,154949,13422,0,149
2020-12-31,NY,216587,16802,0,135
2021-01-01,NY,219253,16497,0,168
2021-01-02,NY,202446,15074,0,129
2021-01-03,NY,142345,11368,0,139
2021-01-04,NY,134360,11209,0,172
2021-01-05,NY,152402,12666,0,154
2021-01-06,NY,197816,16648,0,163
2021-01-07,NY,238550,17636,0,199
2021-01-08,NY,243903,18832,0,165
2021-01-09,NY,258031,16943,0,190
2021-01-10,NY,246836,15355,0,153
2021-01-11,NY,203904,13714,0,169
2021-01-12,NY,196671,15214,0,166
2021-01-13,NY,196868,14577,0,168
2021-01-14,NY,212589,13661,0,204
2021-01-15,NY,324671,19942,0,187
2021-01-16,NY,277286,15998,0,159
2021-01-17,NY,246507,13842,0,172
2021-01-18,NY,186205,12185,0,155
2021-01-19,NY,177269,12512,0,172
2021-01-20,NY,195409,13364,0,191
2021-01-21,NY,224569,13886,0,179
2021-01-22,NY,268001,15144,0,169
2021-01-23,NY,262106,13786,0,144
2021-01-24,NY,249955,12720,0,162
2021-01-25,NY,219538,12003,0,173
2021-01-26,NY,162938,11064,0,165
2021-01-27,NY,202661,11028,0,172
2021-01-28,NY,250668,13398,0,163
2021-01-29,NY,270518,12579,0,151
2021-01-30,NY,269350,12804,0,143
2021-01-31,NY,243066,10793,0,142
2021-02-01,NY,175038,8508,0,141
2021-02-02,NY,150199,8215,0,147
2021-02-03,NY,126489,5925,0,165
2021-02-04,NY,169186,7414,0,136
2021-02-05,NY,203627,8777,0,153
2021-02-06,NY,261285,11252,0,159
2021-02-07,NY,250892,10025,0,145
2021-02-08,NY,197183,8448,0,115
2021-02-09,NY,153648,7866,0,142
2021-02-10,NY,176750,7101,0,138
2021-02-11,NY,285499,10099,0,124
2021-02-12,NY,237134,8404,0,139
2021-02-13,NY,253563,8763,0,127
2021-02-14,NY,234708,8316,0,109
2021-02-15,NY,180504,6365,0,103
2021-02-16,NY,136392,6753,0,107
2021-02-17,NY,169963,6092,0,112
2021-02-18,NY,215731,6794,0,116
2021-02-19,NY,249248,8710,0,119
2021-02-20,NY,251645,7692,0,101
2021-02-21,NY,221157,6610,0,75
2021-02-22,NY,142019,6146,0,90
2021-02-23,NY,157333,6654,0,90
2021-02-24,NY,216813,6189,0,104
2021-02-25,NY,278942,8746,0,92
2021-02-26,NY,291189,8204,0,94
2021-02-27,NY,285307,8141,0,86
2021-02-28,NY,273720,7580,0,90
2021-03-01,NY,174158,6235,0,80
2021-03-02,NY,128034,5800,0,83
2021-03-03,NY,218069,7704,0,75
2021-03-04,NY,270089,7593,0,61
2021-03-05,NY,296935,8956,0,95
2021-03-06,NY,273132,7647,0,79
2021-03-07,NY,227768,6789,0,59
