date,state,tests,cases,hospitalizations,deaths,cumul_cases,cumul_deaths
2020-03-02,NY,0,0,0,0,0,0
2020-03-03,NY,1,1,0,0,1,0
2020-03-04,NY,9,0,0,0,1,0
2020-03-05,NY,20,2,0,0,3,0
2020-03-06,NY,92,22,0,0,25,0
2020-03-07,NY,66,11,0,0,36,0
2020-03-08,NY,200,24,0,0,60,0
2020-03-09,NY,307,28,0,0,88,0
2020-03-10,NY,401,63,0,0,151,0
2020-03-11,NY,425,44,0,0,195,0
2020-03-12,NY,553,56,0,0,251,0
2020-03-13,NY,762,102,0,0,353,0
2020-03-14,NY,1290,164,0,0,517,0
2020-03-15,NY,1293,131,0,3,648,3
2020-03-16,NY,1936,294,0,4,942,7
2020-03-17,NY,2907,432,0,0,1374,7
2020-03-18,NY,4553,1009,0,5,2383,12
2020-03-19,NY,7698,1769,0,0,4152,12
2020-03-20,NY,10124,2950,0,23,7102,35
2020-03-21,NY,13087,3254,0,9,10356,44
2020-03-22,NY,16029,4812,0,70,15168,114
2020-03-23,NY,16812,5707,0,0,20875,114
2020-03-24,NY,12952,4790,0,96,25665,210
2020-03-25,NY,12142,5145,0,75,30810,285
2020-03-26,NY,18651,6448,0,100,37258,385
2020-03-27,NY,16315,7379,0,134,44637,519
2020-03-28,NY,17444,7681,0,209,52318,728
2020-03-29,NY,16401,7195,0,237,59513,965
2020-03-30,NY,14115,6984,0,253,66497,1218
2020-03-31,NY,18648,9298,0,332,75795,1550
2020-04-01,NY,15701,7917,0,391,83712,1941
2020-04-02,NY,18031,8669,0,432,92381,2373
2020-04-03,NY,21555,10482,0,562,102863,2935
2020-04-04,NY,23101,10841,0,630,113704,3565
2020-04-05,NY,18659,8327,0,594,122031,4159
2020-04-06,NY,18531,8658,0,599,130689,4758
2020-04-07,NY,19247,8174,0,731,138863,5489
2020-04-08,NY,25095,10453,0,779,149316,6268
2020-04-09,NY,26396,10621,0,799,159937,7067
2020-04-10,NY,26336,10575,0,777,170512,7844
2020-04-11,NY,23095,9946,0,783,180458,8627
2020-04-12,NY,20621,8236,0,758,188694,9385
2020-04-13,NY,16756,6337,0,671,195031,10056
2020-04-14,NY,20786,7177,0,778,202208,10834
2020-04-15,NY,26869,11571,0,752,213779,11586
2020-04-16,NY,24567,8505,0,606,222284,12192
2020-04-17,NY,22644,7358,0,630,229642,12822
2020-04-18,NY,23309,7090,0,540,236732,13362
2020-04-19,NY,21023,6054,0,507,242786,13869
2020-04-20,NY,16306,4726,0,478,247512,14347
2020-04-21,NY,15464,4178,0,481,251690,14828
2020-04-22,NY,20657,5526,0,474,257216,15302
2020-04-23,NY,25938,6244,0,438,263460,15740
2020-04-24,NY,34736,8130,0,422,271590,16162
2020-04-25,NY,46912,10553,0,437,282143,16599
2020-04-26,NY,27782,5902,0,367,288045,16966
2020-04-27,NY,20745,3951,0,337,291996,17303
2020-04-28,NY,18899,3110,0,335,295106,17638
2020-04-29,NY,27487,4585,0,377,299691,18015
2020-04-30,NY,28155,4681,0,306,304372,18321
2020-05-01,NY,26802,3942,0,289,308314,18610
2020-05-02,NY,31579,4663,0,299,312977,18909
2020-05-03,NY,26894,3438,0,280,316415,19189
2020-05-04,NY,21399,2538,0,226,318953,19415
2020-05-05,NY,21589,2239,0,230,321192,19645
2020-05-06,NY,27022,2786,0,232,323978,19877
2020-05-07,NY,33995,3491,0,951,327469,20828
2020-05-08,NY,31627,2938,0,217,330407,21045
2020-05-09,NY,32225,2715,0,226,333122,21271
2020-05-10,NY,29230,2273,0,207,335395,21478
2020-05-11,NY,21652,1660,0,162,337055,21640
2020-05-12,NY,20463,1430,0,205,338485,21845
2020-05-13,NY,33794,2176,0,168,340661,22013
2020-05-14,NY,39850,2390,0,157,343051,22170
2020-05-15,NY,39291,2762,0,134,345813,22304
2020-05-16,NY,40669,2419,0,174,348232,22478
2020-05-17,NY,34679,1889,0,141,350121,22619
2020-05-18,NY,26161,1250,0,110,351371,22729
2020-05-19,NY,28182,1474,0,114,352845,22843
2020-05-20,NY,38097,1525,0,133,354370,22976
2020-05-21,NY,49219,2088,0,107,356458,23083
2020-05-22,NY,45738,1696,0,112,358154,23195
2020-05-23,NY,51268,1772,0,87,359926,23282
2020-05-24,NY,47765,1589,0,109,361515,23391
2020-05-25,NY,39623,1249,0,97,362764,23488
2020-05-26,NY,34679,1072,0,76,363836,23564
2020-05-27,NY,37416,1129,0,79,364965,23643
2020-05-28,NY,65245,1768,0,79,366733,23722
2020-05-29,NY,67341,1551,0,58,368284,23780
2020-05-30,NY,61251,1376,0,68,369660,23848
2020-05-31,NY,58444,1110,0,57,370770,23905
2020-06-01,NY,49952,941,0,54,371711,23959
2020-06-02,NY,54054,1329,0,64,373040,24023
2020-06-03,NY,61642,1045,0,56,374085,24079
2020-06-04,NY,63559,1048,0,54,375133,24133
2020-06-05,NY,66480,1075,0,42,376208,24175
2020-06-06,NY,77895,1108,0,37,377316,24212
2020-06-07,NY,60435,781,0,47,378097,24259
2020-06-08,NY,58054,702,0,40,378799,24299
2020-06-09,NY,49973,683,0,49,379482,24348
2020-06-10,NY,62297,674,0,56,380156,24404
2020-06-11,NY,60839,736,0,38,380892,24442
2020-06-12,NY,72395,822,0,53,381714,24495
2020-06-13,NY,70840,916,0,32,382630,24527
2020-06-14,NY,62359,694,0,24,383324,24551
2020-06-15,NY,56611,620,0,28,383944,24579
2020-06-16,NY,60568,631,0,29,384575,24608
2020-06-17,NY,59341,567,0,21,385142,24629
2020-06-18,NY,68541,618,0,32,385760,24661
2020-06-19,NY,79303,796,0,25,386556,24686
2020-06-20,NY,68830,716,0,24,387272,24710
2020-06-21,NY,67526,664,0,15,387936,24725
2020-06-22,NY,56780,552,0,14,388488,24739
2020-06-23,NY,48709,597,0,27,389085,24766
2020-06-24,NY,51144,581,0,16,389666,24782
2020-06-25,NY,67642,749,0,18,390415,24800
2020-06-26,NY,61723,805,0,14,391220,24814
2020-06-27,NY,73262,703,0,16,391923,24830
2020-06-28,NY,61906,616,0,5,392539,24835
2020-06-29,NY,46428,391,0,7,392930,24842
2020-06-30,NY,52025,524,0,13,393454,24855
2020-07-01,NY,56710,625,0,11,394079,24866
2020-07-02,NY,69945,875,0,11,394954,24877
2020-07-03,NY,66392,918,0,8,395872,24885
2020-07-04,NY,62403,726,0,11,396598,24896
2020-07-05,NY,63415,533,0,8,397131,24904
2020-07-06,NY,54328,518,0,9,397649,24913
2020-07-07,NY,56736,588,0,11,398237,24924
2020-07-08,NY,57585,692,0,20,398929,24944
2020-07-09,NY,65564,584,0,15,399513,24959
2020-07-10,NY,73558,786,0,9,400299,24968
2020-07-11,NY,69203,730,0,6,401029,24974
2020-07-12,NY,62418,677,0,5,401706,24979
2020-07-13,NY,51687,557,0,10,402263,24989
2020-07-14,NY,60045,912,0,5,403175,24994
2020-07-15,NY,63598,831,0,9,404006,25003
2020-07-16,NY,72685,769,0,11,404775,25014
2020-07-17,NY,78239,776,0,10,405551,25024
2020-07-18,NY,69817,754,0,11,406305,25035
2020-07-19,NY,46204,502,0,13,406807,25048
2020-07-20,NY,49342,519,0,8,407326,25056
2020-07-21,NY,66169,855,0,2,408181,25058
2020-07-22,NY,67659,705,0,10,408886,25068
2020-07-23,NY,69698,811,0,13,409697,25081
2020-07-24,NY,76507,753,0,9,410450,25090
2020-07-25,NY,71466,750,0,13,411200,25103
2020-07-26,NY,53568,536,0,3,411736,25106
2020-07-27,NY,57270,608,0,11,412344,25117
2020-07-28,NY,57397,534,0,9,412878,25126
2020-07-29,NY,62276,715,0,6,413593,25132
2020-07-30,NY,73546,777,0,13,414370,25145
2020-07-31,NY,68869,644,0,5,415014,25150
2020-08-01,NY,82737,753,0,14,415767,25164
2020-08-02,NY,58961,531,0,6,416298,25170
2020-08-03,NY,51839,545,0,2,416843,25172
2020-08-04,NY,70993,746,0,3,417589,25175
2020-08-05,NY,72668,636,0,4,418225,25179
2020-08-06,NY,72370,703,0,6,418928,25185
2020-08-07,NY,70170,714,0,5,419642,25190
2020-08-08,NY,74857,703,0,5,420345,25195
2020-08-09,NY,65812,515,0,7,420860,25202
2020-08-10,NY,54002,476,0,2,421336,25204
2020-08-11,NY,77059,667,0,7,422003,25211
2020-08-12,NY,87776,700,0,7,422703,25218
2020-08-13,NY,87900,737,0,10,423440,25228
2020-08-14,NY,85455,727,0,4,424167,25232
2020-08-15,NY,88668,734,0,12,424901,25244
2020-08-16,NY,77692,607,0,6,425508,25250
2020-08-17,NY,56891,408,0,6,425916,25256
2020-08-18,NY,66891,655,0,8,426571,25264
2020-08-19,NY,80425,631,0,6,427202,25270
2020-08-20,NY,80984,601,0,5,427803,25275
2020-08-21,NY,98880,709,0,3,428512,25278
2020-08-22,NY,94849,653,0,4,429165,25282
2020-08-23,NY,74043,572,0,6,429737,25288
2020-08-24,NY,62031,408,0,7,430145,25295
2020-08-25,NY,67255,629,0,2,430774,25297
2020-08-26,NY,71189,566,0,8,431340,25305
2020-08-27,NY,83437,791,0,4,432131,25309
2020-08-28,NY,97826,636,0,3,432767,25312
2020-08-29,NY,93873,635,0,7,433402,25319
2020-08-30,NY,100022,698,0,8,434100,25327
2020-08-31,NY,66241,656,0,1,434756,25328
2020-09-01,NY,76997,754,0,3,435510,25331
2020-09-02,NY,88447,708,0,5,436218,25336
2020-09-03,NY,88981,889,0,7,437107,25343
2020-09-04,NY,93395,864,0,5,437971,25348
2020-09-05,NY,99761,801,0,2,438772,25350
2020-09-06,NY,85630,729,0,9,439501,25359
2020-09-07,NY,58865,520,0,2,440021,25361
2020-09-08,NY,57826,557,0,6,440578,25367
2020-09-09,NY,63230,576,0,3,441154,25370
2020-09-10,NY,76813,757,0,7,441911,25377
2020-09-11,NY,89722,880,0,5,442791,25382
2020-09-12,NY,102925,849,0,2,443640,25384
2020-09-13,NY,72668,725,0,6,444365,25390
2020-09-14,NY,63358,583,0,4,444948,25394
2020-09-15,NY,73678,766,0,11,445714,25405
2020-09-16,NY,75087,652,0,5,446366,25410
2020-09-17,NY,91504,896,0,3,447262,25413
2020-09-18,NY,89727,790,0,10,448052,25423
2020-09-19,NY,110444,986,0,2,449038,25425
2020-09-20,NY,100355,862,0,2,449900,25427
2020-09-21,NY,58319,573,0,1,450473,25428
2020-09-22,NY,83997,754,0,4,451227,25432
2020-09-23,NY,70930,665,0,5,451892,25437
2020-09-24,NY,92953,955,0,2,452847,25439
2020-09-25,NY,94818,908,0,7,453755,25446
2020-09-26,NY,99953,1005,0,4,454760,25450
2020-09-27,NY,84770,866,0,6,455626,25456
2020-09-28,NY,52936,834,0,12,456460,25468
2020-09-29,NY,88231,1189,0,2,457649,25470
2020-09-30,NY,97960,1000,0,9,458649,25479
2020-10-01,NY,109218,1382,0,11,460031,25490
2020-10-02,NY,119493,1598,0,7,461629,25497
2020-10-03,NY,134267,1731,0,8,463360,25505
2020-10-04,NY,110329,1222,0,14,464582,25519
2020-10-05,NY,76404,933,0,8,465515,25527
2020-10-06,NY,96359,1393,0,9,466908,25536
2020-10-07,NY,108246,1360,0,9,468268,25545
2020-10-08,NY,145811,1836,0,10,470104,25555
2020-10-09,NY,139300,1592,0,6,471696,25561
2020-10-10,NY,134579,1447,0,8,473143,25569
2020-10-11,NY,118254,1143,0,5,474286,25574
2020-10-12,NY,91793,1029,0,13,475315,25587
2020-10-13,NY,99070,1393,0,11,476708,25598
2020-10-14,NY,111744,1232,0,7,477940,25605
2020-10-15,NY,133212,1460,0,13,479400,25618
2020-10-16,NY,136039,1707,0,10,481107,25628
2020-10-17,NY,159972,1784,0,9,482891,25637
2020-10-18,NY,128763,1390,0,7,484281,25644
2020-10-19,NY,82009,998,0,15,485279,25659
2020-10-20,NY,90540,1201,0,13,486480,25672
2020-10-21,NY,124789,2026,0,7,488506,25679
2020-10-22,NY,135341,1628,0,15,490134,25694
2020-10-23,NY,141508,1637,0,11,491771,25705
2020-10-24,NY,156940,2061,0,13,493832,25718
2020-10-25,NY,120830,1632,0,12,495464,25730
2020-10-26,NY,82117,1191,0,12,496655,25742
2020-10-27,NY,111618,1991,0,16,498646,25758
2020-10-28,NY,129660,2031,0,15,500677,25773
2020-10-29,NY,168353,2499,0,19,503176,25792
2020-10-30,NY,146885,2255,0,12,505431,25804
2020-10-31,NY,136962,2049,0,3,507480,25807
2020-11-01,NY,148935,2255,0,17,509735,25824
2020-11-02,NY,96101,1633,0,14,511368,25838
2020-11-03,NY,127869,2321,0,15,513689,25853
2020-11-04,NY,133534,2126,0,15,515815,25868
2020-11-05,NY,161019,2997,0,24,518812,25892
2020-11-06,NY,160705,3209,0,18,522021,25910
2020-11-07,NY,163291,3587,0,18,525608,25928
2020-11-08,NY,145642,3428,0,19,529036,25947
2020-11-09,NY,111416,3144,0,26,532180,25973
2020-11-10,NY,128036,3965,0,32,536145,26005
2020-11-11,NY,164300,4820,0,21,540965,26026
2020-11-12,NY,162627,4797,0,29,545762,26055
2020-11-13,NY,203721,5401,0,24,551163,26079
2020-11-14,NY,184162,5388,0,24,556551,26103
2020-11-15,NY,133202,3649,0,30,560200,26133
2020-11-16,NY,124565,3490,0,26,563690,26159
2020-11-17,NY,159852,5088,0,30,568778,26189
2020-11-18,NY,154434,5294,0,36,574072,26225
2020-11-19,NY,195239,5310,0,32,579382,26257
2020-11-20,NY,205466,5468,0,35,584850,26292
2020-11-21,NY,207907,5972,0,34,590822,26326
2020-11-22,NY,196610,5392,0,31,596214,26357
2020-11-23,NY,191489,5906,0,33,602120,26390
2020-11-24,NY,164761,4881,0,51,607001,26441
2020-11-25,NY,173085,6265,0,41,613266,26482
2020-11-26,NY,217721,6933,0,67,620199,26549
2020-11-27,NY,219442,8176,0,39,628375,26588
2020-11-28,NY,152355,6063,0,44,634438,26632
2020-11-29,NY,157320,6723,0,58,641161,26690
2020-11-30,NY,148974,6819,0,57,647980,26747
2020-12-01,NY,146675,7285,0,69,655265,26816
2020-12-02,NY,193551,8973,0,73,664238,26889
2020-12-03,NY,203440,9855,0,66,674093,26955
2020-12-04,NY,208297,11271,0,62,685364,27017
2020-12-05,NY,215401,10761,0,72,696125,27089
2020-12-06,NY,205832,9702,0,60,705827,27149
2020-12-07,NY,152287,7302,0,83,713129,27232
2020-12-08,NY,162464,9335,0,75,722464,27307
2020-12-09,NY,194595,10600,0,97,733064,27404
2020-12-10,NY,197406,10178,0,94,743242,27498
2020-12-11,NY,212672,10595,0,89,753837,27587
2020-12-12,NY,242927,11129,0,88,764966,27675
2020-12-13,NY,205250,10194,0,110,775160,27785
2020-12-14,NY,159844,9044,0,85,784204,27870
2020-12-15,NY,194188,10353,0,132,794557,28002
2020-12-16,NY,160947,9998,0,98,804555,28100
2020-12-17,NY,202772,10914,0,122,815469,28222
2020-12-18,NY,249385,12697,0,122,828166,28344
2020-12-19,NY,191476,9919,0,130,838085,28474
2020-12-20,NY,197251,9957,0,124,848042,28598
2020-12-21,NY,156510,9007,0,111,857049,28709
2020-12-22,NY,164868,9716,0,141,866765,28850
2020-12-23,NY,204361,11937,0,166,878702,29016
2020-12-24,NY,226296,12568,0,133,891270,29149
2020-12-25,NY,226560,12446,0,121,903716,29270
2020-12-26,NY,201442,10806,0,126,914522,29396
2020-12-27,NY,130299,7623,0,115,922145,29511
2020-12-28,NY,124866,10407,0,118,932552,29629
2020-12-29,NY,160164,11438,0,127,943990,29756
2020-12-30,NY,154949,13422,0,149,957412,29905
2020-12-31,NY,216587,16802,0,135,974214,30040
2021-01-01,NY,219253,16497,0,168,990711,30208
2021-01-02,NY,202446,15074,0,129,1005785,30337
2021-01-03,NY,142345,11368,0,139,1017153,30476
2021-01-04,NY,134360,11209,0,172,1028362,30648
2021-01-05,NY,152402,12666,0,154,1041028,30802
2021-01-06,NY,197816,16648,0,163,1057676,30965
2021-01-07,NY,238550,17636,0,199,1075312,31164
2021-01-08,NY,243903,18832,0,165,1094144,31329
2021-01-09,NY,258031,16943,0,190,1111087,31519
2021-01-10,NY,246836,15355,0,153,1126442,31672
2021-01-11,NY,203904,13714,0,169,1140156,31841
2021-01-12,NY,196671,15214,0,166,1155370,32007
2021-01-13,NY,196868,14577,0,168,1169947,32175
2021-01-14,NY,212589,13661,0,204,1183608,32379
2021-01-15,NY,324671,19942,0,187,1203550,32566
2021-01-16,NY,277286,15998,0,159,1219548,32725
2021-01-17,NY,246507,13842,0,172,1233390,32897
2021-01-18,NY,186205,12185,0,155,1245575,33052
2021-01-19,NY,177269,12512,0,172,1258087,33224
2021-01-20,NY,195409,13364,0,191,1271451,33415
2021-01-21,NY,224569,13886,0,179,1285337,33594
2021-01-22,NY,268001,15144,0,169,1300481,33763
2021-01-23,NY,262106,13786,0,144,1314267,33907
2021-01-24,NY,249955,12720,0,162,1326987,34069
2021-01-25,NY,219538,12003,0,173,1338990,34242
2021-01-26,NY,162938,11064,0,165,1350054,34407
2021-01-27,NY,202661,11028,0,172,1361082,34579
2021-01-28,NY,250668,13398,0,163,1374480,34742
2021-01-29,NY,270518,12579,0,151,1387059,34893
2021-01-30,NY,269350,12804,0,143,1399863,35036
2021-01-31,NY,243066,10793,0,142,1410656,35178
2021-02-01,NY,175038,8508,0,141,1419164,35319
2021-02-02,NY,150199,8215,0,147,1427379,35466
2021-02-03,NY,126489,5925,0,165,1433304,35631
2021-02-04,NY,169186,7414,0,136,1440718,35767
2021-02-05,NY,203627,8777,0,153,1449495,35920
2021-02-06,NY,261285,11252,0,159,1460747,36079
2021-02-07,NY,250892,10025,0,145,1470772,36224
2021-02-08,NY,197183,8448,0,115,1479220,36339
2021-02-09,NY,153648,7866,0,142,1487086,36481
2021-02-10,NY,176750,7101,0,138,1494187,36619
2021-02-11,NY,285499,10099,0,124,1504286,36743
2021-02-12,NY,237134,8404,0,139,1512690,36882
2021-02-13,NY,253563,8763,0,127,1521453,37009
2021-02-14,NY,234708,8316,0,109,1529769,37118
2021-02-15,NY,180504,6365,0,103,1536134,37221
2021-02-16,NY,136392,6753,0,107,1542887,37328
2021-02-17,NY,169963,6092,0,112,1548979,37440
2021-02-18,NY,215731,6794,0,116,1555773,37556
2021-02-19,NY,249248,8710,0,119,1564483,37675
2021-02-20,NY,251645,7692,0,101,1572175,37776
2021-02-21,NY,221157,6610,0,75,1578785,37851
2021-02-22,NY,142019,6146,0,90,1584931,37941
2021-02-23,NY,157333,6654,0,90,1591585,38031
2021-02-24,NY,216813,6189,0,104,1597774,38135
2021-02-25,NY,278942,8746,0,92,1606520,38227
2021-02-26,NY,291189,8204,0,94,1614724,38321
2021-02-27,NY,285307,8141,0,86,1622865,38407
2021-02-28,NY,273720,7580,0,90,1630445,38497
2021-03-01,NY,174158,6235,0,80,1636680,38577
2021-03-02,NY,128034,5800,0,83,1642480,38660
2021-03-03,NY,218069,7704,0,75,1650184,38735
2021-03-04,NY,270089,7593,0,61,1657777,38796
2021-03-05,NY,296935,8956,0,95,1666733,38891
2021-03-06,NY,273132,7647,0,79,1674380,38970
2021-03-07,NY,227768,6789,0,59,1681169,39029
